,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603
FIT101,1.0,-0.6167257775398083,0.9609630619147246,0.18023948262528108,-0.006158239545629858,-0.01883608547563474,-0.06058814299829669,0.02610868249994587,0.18675581221556364,0.07595406086744798,-0.14524382041416734,,0.1889065355687154,,0.14540100720088925,,-0.16099047676238953,-0.16447469856606245,0.38660288791064396,0.030522774861489268,-0.14739644064639504,0.07853789523394218,0.019398013218046895,0.032161584531087604,-0.17655487318594085,-0.01838331215511057,0.04543805640945576,0.04743711550277491,0.37151390886109587,,0.04209175085285094,-0.01070298862285187,,0.04196334115324791,0.005009851882745954,0.05221941688691123,0.140044160209651,-0.03515371083663313,0.04838556194211807,0.04849484752110669,0.04153436690053579,0.03288404852716474,0.040748834339389944,,0.05049086574720271,0.04032790160635199,0.052009792732611415,0.059163525752223035,,0.05485916637515296,
LIT101,-0.6167257775398083,1.0,-0.5784882096213863,-0.6208306307734633,0.0017249098693192333,0.04591143592708933,0.18093102611880954,-0.12544078317860494,-0.6299026730380756,-0.5630875830357387,-0.0660241905534719,,-0.6298318613620453,,-0.4990307126162863,,-0.12591367834598402,-0.12470382187130494,0.11641078127189734,-0.032846993257183876,-0.11672495009440405,-0.0701867657500669,-0.012816233919472453,-0.13753011019669756,-0.08882676981961331,0.08123845362089345,-0.11541376040436656,0.18839866875231104,-0.15597566779099656,,0.19095887280544768,0.012325673347527991,,0.18955367152750863,0.17838340647308745,-0.141918802414335,-0.0749514051141546,-0.17577797601696443,0.18899195062971597,0.18387830610817651,0.18972950936080263,0.1942062360006104,0.19127028521499537,,0.17742646749756327,0.010554123682583499,0.17302811740426033,-0.06308289187732846,,-0.05904012778932128,
MV101,0.9609630619147246,-0.5784882096213863,1.0,0.08770306252011374,-0.010732983319050917,-0.022126817449674166,-0.04633868035115576,-0.008327314586787473,0.09486358027957684,0.09134137902749775,-0.13579100403244934,,0.09762352626793061,,0.09770581833251513,,-0.0650723070042458,-0.057062396077549565,0.5058908318462464,0.03256555695762369,-0.0625891170438475,0.07737747635008477,0.04252133271190804,,-0.06463567301445174,0.004031916252503602,0.013607534481581788,0.024771460844983693,0.2885512315285027,,0.01978690809048887,-0.019010526123780666,,0.016541129466201027,0.015802742151981714,0.04550342202149828,0.1994867914581615,0.012813337413795887,0.03860732464421016,0.030118289685867692,0.027588565629466957,0.009143034739397534,0.016234529068889,,0.05132835612808483,-0.0035853986356928214,0.05864288532761603,0.06313155989975965,,0.05851742609245446,
P101,0.18023948262528108,-0.6208306307734633,0.08770306252011374,1.0,-0.0027793679794797617,-0.020911180359909815,-0.25248611289435324,0.13238060386447814,0.991476691699652,0.9861728367886394,0.22697960452686203,,0.9921509055773068,,0.8531275247795929,,0.4886049466517139,0.4887582371372923,-0.2942998982616298,0.017708734243622706,0.456980890091665,-0.015601617240116996,-0.027028639309841528,0.030138875507407743,0.4597990824934348,-0.0027307059628255744,0.04461440581041342,0.06375593774208137,0.23476272554143604,,0.06155005537290387,-0.011361987613852912,,0.06064421653723253,-0.01195002868856267,0.046418047558928435,0.05921869768015278,-0.05489282073459003,0.06458543549297088,0.06394998964775858,0.0594836900858382,0.05388594377751486,0.05959942627566928,,0.06367030828959114,0.03678991640392193,0.06377695025149928,0.03127034950488702,,0.03180580565736536,
P102,-0.006158239545629858,0.0017249098693192333,-0.010732983319050917,-0.0027793679794797617,1.0,-0.001920149830647837,0.0071215205365486554,-0.004253766620581643,0.0051823527899468105,0.008837074214604276,-0.006181661725019229,,0.003845140799797614,,0.0046971078090486855,,0.003998071764532499,0.003692685827677599,-0.006121756887924192,-0.0004258766092637512,0.00394147011762487,-0.002053605704988032,-0.0010732810933656806,-0.00043315864189766214,0.003810862596333565,0.0030260511886966257,-0.009558801118323359,0.001405296027712579,-0.0006497621985941814,,0.00048566723397768977,-5.471778614280836e-05,,0.0004893258860673082,-0.005748212314833614,-0.008428952666802025,-0.0022159262535773588,0.001985829365355708,0.0013740511280800056,0.0014947821877737198,-0.0004562745355409693,-9.866056296501358e-05,0.0005004950786254701,,-0.0015187155941174784,0.0038653526288285854,-0.0021904351896959834,-0.0008243655182302211,,-0.0007646686981637741,
AIT201,-0.01883608547563474,0.04591143592708933,-0.022126817449674166,-0.020911180359909815,-0.001920149830647837,1.0,-0.9095387976378821,0.7331730133232565,-0.024298678200803496,-0.021006805508701376,-0.28549045705567405,,-0.021407425331098847,,-0.02123226201487102,,-0.016054621973090447,0.004586284563621776,0.012289274918725326,-0.005929062605238709,0.0011052810183507238,-0.01127934880063433,-0.005464461650998875,,0.0003980077329162206,0.11932486881680293,0.5882221476768195,0.05089752502223335,-0.012416250297177552,,0.004637718334994003,-0.0044444136307946825,,0.006726234436472013,0.7343124089832309,0.5915817875460418,0.005709344389703585,-0.2927659601468544,0.06699652952357896,0.045017599984175045,0.042440847261782016,0.046409715836567896,0.0070012046710214325,,-0.030124813427879378,0.5747705658078658,0.04307028888355604,-0.010174709312981312,,-0.010058609857369255,
AIT202,-0.06058814299829669,0.18093102611880954,-0.04633868035115576,-0.25248611289435324,0.0071215205365486554,-0.9095387976378821,1.0,-0.011781061685068185,-0.25343611596987686,-0.2910709571981191,0.24536461927355832,,-0.2540767101805117,,-0.17634465863934048,,-0.10021788861858634,-0.10800469704604851,0.07878128390692488,-0.0071749744562543405,-0.096515642976537,0.007989158159975314,0.0062752816396221415,-0.021419205516871195,-0.09276149796993206,-0.09176807703424576,-0.3637483388451095,0.028852985390371486,-0.08036615555990177,,0.022382301094719642,0.0054111070876599375,,0.02155060551912586,-0.4327984246611468,-0.30766183283802623,-0.08761051930674256,0.09863015607905413,0.028204093716619815,0.04376444515415308,-0.0008211319953932238,0.011022481335383317,0.024626035427015965,,-0.01299302788339479,-0.28560900351201135,-0.040909402742118066,-0.013367260770232422,,-0.012827078717201552,
AIT203,0.02610868249994587,-0.12544078317860494,-0.008327314586787473,0.13238060386447814,-0.004253766620581643,0.7331730133232565,-0.011781061685068185,1.0,0.134963414584583,0.35099376952984035,-0.18731901115418947,,0.13302212084334727,,-0.27168644418149834,,0.0722530100704879,0.07635339150794489,-0.16998621782971562,0.0020443916640944487,0.07791812848760427,-0.011264946610957553,-0.005251731705522699,0.1496799448140671,0.05923848255673797,-0.8762728611494315,0.6375448767988154,-0.06578674587370045,-0.16810912528819744,,-0.01092416943159396,0.004537167320732164,,-0.01071747296476929,-0.04296207903889464,0.615991563456672,0.19925897372971285,-0.053770640768680676,-0.0681302096037208,-0.09659692677921622,0.03572757055568607,0.027014753986641712,-0.015817815510020997,,0.07012001294693668,0.13038547085202098,0.10138699462088213,0.00429832462652065,,0.004292010955617231,
FIT201,0.18675581221556364,-0.6299026730380756,0.09486358027957684,0.991476691699652,0.0051823527899468105,-0.024298678200803496,-0.25343611596987686,0.134963414584583,1.0,0.9711589848094181,0.22984765707975713,,0.9959307956749062,,0.8553711873535762,,0.47918813715018427,0.47899195728545113,-0.2873035448961168,0.019349257583400045,0.44836817873391227,-0.013864767741288336,-0.027234582532467813,0.03118883430404117,0.45012055879557034,-0.004606359730004436,0.04561682443960764,0.06369914194166083,0.23952027846466453,,0.06171774023808866,-0.011385169757222487,,0.060797195672100186,-0.013482632736658659,0.047977139166986836,0.06021353041515718,-0.054803207949692574,0.06452300304976427,0.06377629158584175,0.059622443001465505,0.05375791799483767,0.05951775171767965,,0.0641784562678305,0.03694456594348876,0.06433482895771343,0.0338065195970932,,0.03418556624125333,
MV201,0.07595406086744798,-0.5630875830357387,0.09134137902749775,0.9861728367886394,0.008837074214604276,-0.021006805508701376,-0.2910709571981191,0.35099376952984035,0.9711589848094181,1.0,0.22481909975550782,,0.9798017740493474,,0.9799403217951722,,0.38321955449865996,0.37146435406010075,-0.30774943365319474,-0.00381341680967992,0.3623284517695534,-0.01595350362042334,-0.05782616996188689,,0.35559078389112186,0.03932954077306144,0.051744538372461804,0.013770587588743562,0.18026020643960888,,0.021610079660697768,-0.020762161629690763,,0.011011524970105196,-0.031816867997142194,0.08139418711579388,0.14118387061093185,0.0052741045899660005,0.023897643772644205,0.016549858285047857,0.020814587462256215,0.004118183829451219,0.011259252608183428,,0.04039031655438984,-0.002606949762638635,0.04746517141737048,-0.009666654909351426,,-0.004954927234833168,
