target,dependency,votes
AIT201,AIT202,3
AIT201,FIT201,3
AIT201,AIT203,3
AIT201,MV201,3
AIT201,P201,2
AIT201,P205,2
AIT201,P203,1
AIT201,P202,1
AIT201,P204,1
AIT201,P206,1
AIT202,AIT201,3
AIT202,AIT203,3
AIT202,P205,3
AIT202,P203,3
AIT202,FIT201,2
AIT202,MV201,2
AIT202,P201,1
AIT202,P202,1
AIT202,P204,1
AIT202,P206,1
AIT203,AIT202,3
AIT203,AIT201,3
AIT203,FIT201,3
AIT203,P203,3
AIT203,P201,2
AIT203,MV201,2
AIT203,P205,1
AIT203,P202,1
AIT203,P204,1
AIT203,P206,1
AIT401,AIT402,3
AIT401,FIT401,3
AIT401,LIT401,3
AIT401,UV401,3
AIT401,P403,2
AIT401,P402,2
AIT401,P401,1
AIT401,P404,1
AIT402,FIT401,3
AIT402,AIT401,3
AIT402,P402,3
AIT402,UV401,3
AIT402,LIT401,2
AIT402,P403,2
AIT402,P401,1
AIT402,P404,1
AIT501,AIT504,3
AIT501,AIT502,3
AIT501,AIT503,3
AIT501,FIT501,2
AIT501,PIT501,2
AIT501,PIT503,2
AIT501,FIT502,2
AIT501,PIT502,1
AIT501,FIT503,1
AIT501,FIT504,1
AIT502,AIT501,3
AIT502,AIT504,3
AIT502,PIT503,3
AIT502,FIT503,2
AIT502,FIT502,2
AIT502,AIT503,2
AIT502,PIT501,2
AIT502,PIT502,1
AIT502,FIT504,1
AIT502,FIT501,1
AIT503,AIT504,3
AIT503,AIT501,3
AIT503,AIT502,3
AIT503,PIT503,2
AIT503,PIT501,2
AIT503,FIT504,2
AIT503,FIT503,2
AIT503,PIT502,1
AIT503,FIT501,1
AIT503,FIT502,1
AIT504,AIT501,3
AIT504,AIT502,3
AIT504,AIT503,2
AIT504,PIT501,2
AIT504,PIT503,2
AIT504,FIT503,2
AIT504,FIT504,2
AIT504,FIT501,1
AIT504,FIT502,1
AIT504,PIT502,1
AIT504,P501,1
DPIT301,MV302,3
DPIT301,FIT301,3
DPIT301,MV304,3
DPIT301,LIT301,2
DPIT301,MV301,2
DPIT301,P302,2
DPIT301,MV303,2
DPIT301,P301,1
FIT101,MV101,3
FIT101,LIT101,3
FIT101,P101,3
FIT101,P102,3
FIT201,P205,3
FIT201,AIT203,3
FIT201,AIT201,3
FIT201,AIT202,3
FIT201,P203,2
FIT201,MV201,2
FIT201,P201,1
FIT201,P202,1
FIT201,P204,1
FIT201,P206,1
FIT301,DPIT301,3
FIT301,MV303,3
FIT301,P302,3
FIT301,MV301,2
FIT301,MV304,2
FIT301,LIT301,2
FIT301,MV302,2
FIT301,P301,1
FIT401,UV401,3
FIT401,AIT402,3
FIT401,LIT401,3
FIT401,AIT401,3
FIT401,P403,2
FIT401,P402,2
FIT401,P401,1
FIT401,P404,1
FIT501,FIT503,3
FIT501,AIT501,3
FIT501,PIT501,2
FIT501,PIT503,2
FIT501,AIT502,2
FIT501,FIT504,2
FIT501,PIT502,2
FIT501,FIT502,1
FIT501,AIT504,1
FIT501,AIT503,1
FIT501,P501,1
FIT502,FIT501,3
FIT502,FIT503,2
FIT502,PIT501,2
FIT502,PIT503,2
FIT502,AIT502,2
FIT502,FIT504,2
FIT502,AIT501,2
FIT502,PIT502,2
FIT502,AIT503,1
FIT502,AIT504,1
FIT502,P501,1
FIT503,PIT503,3
FIT503,PIT501,2
FIT503,FIT501,2
FIT503,FIT504,2
FIT503,AIT502,2
FIT503,AIT501,2
FIT503,PIT502,2
FIT503,AIT504,2
FIT503,FIT502,1
FIT503,AIT503,1
FIT503,P501,1
FIT504,FIT501,3
FIT504,FIT503,3
FIT504,PIT501,2
FIT504,PIT503,2
FIT504,AIT502,2
FIT504,FIT502,2
FIT504,PIT502,2
FIT504,AIT503,1
FIT504,AIT501,1
FIT504,AIT504,1
FIT504,P501,1
FIT601,P602,3
FIT601,P601,2
FIT601,P603,2
LIT101,MV101,3
LIT101,P101,3
LIT101,FIT101,3
LIT101,P102,3
LIT301,DPIT301,3
LIT301,FIT301,3
LIT301,P302,3
LIT301,MV302,3
LIT301,MV303,2
LIT301,MV304,2
LIT301,MV301,1
LIT301,P301,1
LIT401,AIT402,3
LIT401,FIT401,3
LIT401,AIT401,3
LIT401,P402,3
LIT401,UV401,3
LIT401,P403,1
LIT401,P401,1
LIT401,P404,1
PIT501,PIT503,3
PIT501,AIT501,3
PIT501,FIT503,2
PIT501,FIT501,2
PIT501,FIT504,2
PIT501,AIT502,2
PIT501,PIT502,2
PIT501,FIT502,1
PIT501,AIT503,1
PIT501,AIT504,1
PIT501,P501,1
PIT502,AIT502,3
PIT502,PIT501,3
PIT502,AIT501,2
PIT502,FIT503,2
PIT502,PIT503,2
PIT502,FIT501,2
PIT502,AIT504,2
PIT502,AIT503,1
PIT502,FIT502,1
PIT502,FIT504,1
PIT502,P501,1
PIT503,PIT501,3
PIT503,AIT501,3
PIT503,FIT503,2
PIT503,AIT502,2
PIT503,FIT504,2
PIT503,AIT504,2
PIT503,PIT502,2
PIT503,FIT501,1
PIT503,FIT502,1
PIT503,AIT503,1
PIT503,P501,1
