target,dependency,correlation,abs_correlation,strategy
FIT101,MV101,0.9609630619146914,0.9609630619146914,adjacent_stage
FIT101,LIT101,-0.6167257775398134,0.6167257775398134,adjacent_stage
FIT101,P203,0.1889065355686933,0.1889065355686933,adjacent_stage
FIT101,FIT201,0.18675581221555698,0.18675581221555698,adjacent_stage
FIT101,P101,0.18023948262526182,0.18023948262526182,adjacent_stage
FIT101,P205,0.14540100720088897,0.14540100720088897,adjacent_stage
FIT101,P201,-0.1452438204141641,0.1452438204141641,adjacent_stage
FIT101,MV201,0.07595406086744479,0.07595406086744479,adjacent_stage
FIT101,AIT202,-0.06058814299832136,0.06058814299832136,adjacent_stage
FIT101,AIT203,0.026108682499948486,0.026108682499948486,adjacent_stage
LIT101,FIT201,-0.6299026730380507,0.6299026730380507,adjacent_stage
LIT101,P203,-0.6298318613619801,0.6298318613619801,adjacent_stage
LIT101,P101,-0.6208306307734468,0.6208306307734468,adjacent_stage
LIT101,FIT101,-0.6167257775398134,0.6167257775398134,adjacent_stage
LIT101,MV101,-0.5784882096213823,0.5784882096213823,adjacent_stage
LIT101,MV201,-0.5630875830357198,0.5630875830357198,adjacent_stage
LIT101,P205,-0.4990307126162927,0.4990307126162927,adjacent_stage
LIT101,AIT202,0.180931026118851,0.180931026118851,adjacent_stage
LIT101,AIT203,-0.125440783178596,0.125440783178596,adjacent_stage
LIT101,P201,-0.06602419055347224,0.06602419055347224,adjacent_stage
AIT201,AIT202,-0.909538797638162,0.909538797638162,adjacent_stage
AIT201,AIT203,0.7331730133232084,0.7331730133232084,adjacent_stage
AIT201,P201,-0.28549045705569,0.28549045705569,adjacent_stage
AIT201,LIT101,0.04591143592709362,0.04591143592709362,adjacent_stage
AIT201,FIT201,-0.02429867820080226,0.02429867820080226,adjacent_stage
AIT201,MV101,-0.022126817449662866,0.022126817449662866,adjacent_stage
AIT201,P203,-0.021407425331096314,0.021407425331096314,adjacent_stage
AIT201,P205,-0.021232262014855105,0.021232262014855105,adjacent_stage
AIT201,MV201,-0.021006805508664367,0.021006805508664367,adjacent_stage
AIT201,P101,-0.02091118035991225,0.02091118035991225,adjacent_stage
AIT202,AIT201,-0.909538797638162,0.909538797638162,adjacent_stage
AIT202,MV201,-0.2910709571978144,0.2910709571978144,adjacent_stage
AIT202,P203,-0.25407671018062417,0.25407671018062417,adjacent_stage
AIT202,FIT201,-0.2534361159699805,0.2534361159699805,adjacent_stage
AIT202,P101,-0.25248611289442996,0.25248611289442996,adjacent_stage
AIT202,P201,0.24536461927366165,0.24536461927366165,adjacent_stage
AIT202,LIT101,0.18093102611885103,0.18093102611885103,adjacent_stage
AIT202,P205,-0.17634465863942328,0.17634465863942328,adjacent_stage
AIT202,FIT301,-0.10800469704611258,0.10800469704611258,adjacent_stage
AIT202,DPIT301,-0.10021788861860607,0.10021788861860607,adjacent_stage
AIT203,AIT201,0.7331730133232083,0.7331730133232083,adjacent_stage
AIT203,MV201,0.3509937695298927,0.3509937695298927,adjacent_stage
AIT203,P205,-0.2716864441814955,0.2716864441814955,adjacent_stage
AIT203,P201,-0.18731901115418012,0.18731901115418012,adjacent_stage
AIT203,LIT301,-0.1699862178297231,0.1699862178297231,adjacent_stage
AIT203,P301,0.14967994481406752,0.14967994481406752,adjacent_stage
AIT203,FIT201,0.13496341458458525,0.13496341458458525,adjacent_stage
AIT203,P203,0.133022120843351,0.133022120843351,adjacent_stage
AIT203,P101,0.13238060386446682,0.13238060386446682,adjacent_stage
AIT203,LIT101,-0.125440783178596,0.125440783178596,adjacent_stage
FIT201,P203,0.9959307956748427,0.9959307956748427,adjacent_stage
FIT201,P101,0.991476691699604,0.991476691699604,adjacent_stage
FIT201,MV201,0.9711589848093972,0.9711589848093972,adjacent_stage
FIT201,P205,0.855371187353614,0.855371187353614,adjacent_stage
FIT201,LIT101,-0.6299026730380507,0.6299026730380507,adjacent_stage
FIT201,DPIT301,0.47918813715021463,0.47918813715021463,adjacent_stage
FIT201,FIT301,0.47899195728547656,0.47899195728547656,adjacent_stage
FIT201,P302,0.45012055879561663,0.45012055879561663,adjacent_stage
FIT201,MV302,0.4483681787338882,0.4483681787338882,adjacent_stage
FIT201,LIT301,-0.28730354489612464,0.28730354489612464,adjacent_stage
DPIT301,FIT301,0.975713989888311,0.975713989888311,adjacent_stage
DPIT301,P302,0.9502927603340723,0.9502927603340723,adjacent_stage
DPIT301,MV302,0.943846791115032,0.943846791115032,adjacent_stage
DPIT301,P203,0.4827311991825846,0.4827311991825846,adjacent_stage
DPIT301,FIT201,0.4791881371502147,0.4791881371502147,adjacent_stage
DPIT301,P205,0.4213828636510486,0.4213828636510486,adjacent_stage
DPIT301,MV201,0.3832195544986375,0.3832195544986375,adjacent_stage
DPIT301,LIT301,-0.33123759132599717,0.33123759132599717,adjacent_stage
DPIT301,MV303,-0.3130161160775008,0.3130161160775008,adjacent_stage
DPIT301,MV304,-0.20070852268957143,0.20070852268957143,adjacent_stage
FIT301,DPIT301,0.9757139898883112,0.9757139898883112,adjacent_stage
FIT301,P302,0.9701358378551487,0.9701358378551487,adjacent_stage
FIT301,MV302,0.8883132892173562,0.8883132892173562,adjacent_stage
FIT301,P203,0.48297521201207944,0.48297521201207944,adjacent_stage
FIT301,FIT201,0.4789919572854766,0.4789919572854766,adjacent_stage
FIT301,P205,0.42012156950697116,0.42012156950697116,adjacent_stage
FIT301,MV201,0.37146435406010564,0.37146435406010564,adjacent_stage
FIT301,LIT301,-0.32030470001569084,0.32030470001569084,adjacent_stage
FIT301,MV303,-0.2781496602122223,0.2781496602122223,adjacent_stage
FIT301,MV301,-0.11449385988710196,0.11449385988710196,adjacent_stage
LIT301,LIT401,0.5821008965725731,0.5821008965725731,adjacent_stage
LIT301,FIT401,0.4526381553314909,0.4526381553314909,adjacent_stage
LIT301,P402,0.4429635006658391,0.4429635006658391,adjacent_stage
LIT301,UV401,0.4409730045574756,0.4409730045574756,adjacent_stage
LIT301,DPIT301,-0.33123759132599717,0.33123759132599717,adjacent_stage
LIT301,P301,-0.33117747138358516,0.33117747138358516,adjacent_stage
LIT301,FIT301,-0.32030470001569084,0.32030470001569084,adjacent_stage
LIT301,MV302,-0.3131293233609481,0.3131293233609481,adjacent_stage
LIT301,MV201,-0.30774943365318647,0.30774943365318647,adjacent_stage
LIT301,FIT201,-0.28730354489612464,0.28730354489612464,adjacent_stage
AIT401,AIT402,-0.5812886769960972,0.5812886769960972,adjacent_stage
AIT401,AIT502,-0.5782211221109949,0.5782211221109949,adjacent_stage
AIT401,FIT502,0.22988529526804244,0.22988529526804244,adjacent_stage
AIT401,LIT401,0.2142990880207064,0.2142990880207064,adjacent_stage
AIT401,FIT501,0.2084703719013408,0.2084703719013408,adjacent_stage
AIT401,FIT401,0.205343074709804,0.205343074709804,adjacent_stage
AIT401,LIT301,0.18056800523507283,0.18056800523507283,adjacent_stage
AIT401,AIT501,0.17525616935205152,0.17525616935205152,adjacent_stage
AIT401,P501,0.16069157741447782,0.16069157741447782,adjacent_stage
AIT401,P402,0.15800133050023418,0.15800133050023418,adjacent_stage
AIT402,AIT502,0.975635688953917,0.975635688953917,adjacent_stage
AIT402,AIT401,-0.5812886769960972,0.5812886769960972,adjacent_stage
AIT402,PIT502,0.3334606282646686,0.3334606282646686,adjacent_stage
AIT402,LIT401,-0.17475161906211106,0.17475161906211106,adjacent_stage
AIT402,P301,0.16520721537952018,0.16520721537952018,adjacent_stage
AIT402,PIT503,0.16368355625497089,0.16368355625497089,adjacent_stage
AIT402,FIT502,-0.15925817521900368,0.15925817521900368,adjacent_stage
AIT402,LIT301,-0.1512670008053713,0.1512670008053713,adjacent_stage
AIT402,AIT504,-0.119880354570445,0.119880354570445,adjacent_stage
AIT402,PIT501,0.11154542686595599,0.11154542686595599,adjacent_stage
FIT401,FIT501,0.9952950785071357,0.9952950785071357,adjacent_stage
FIT401,UV401,0.9830488866407674,0.9830488866407674,adjacent_stage
FIT401,P402,0.9796789402109276,0.9796789402109276,adjacent_stage
FIT401,P501,0.9778302095820904,0.9778302095820904,adjacent_stage
FIT401,FIT502,0.9760126060219251,0.9760126060219251,adjacent_stage
FIT401,FIT503,0.9679079966959533,0.9679079966959533,adjacent_stage
FIT401,FIT504,0.9585220755058218,0.9585220755058218,adjacent_stage
FIT401,PIT501,0.9402721003438453,0.9402721003438453,adjacent_stage
FIT401,PIT503,0.9218994720472458,0.9218994720472458,adjacent_stage
FIT401,AIT504,-0.8438003606899181,0.8438003606899181,adjacent_stage
LIT401,LIT301,0.5821008965725731,0.5821008965725731,adjacent_stage
LIT401,FIT501,0.47705019159734025,0.47705019159734025,adjacent_stage
LIT401,FIT401,0.47390502699393516,0.47390502699393516,adjacent_stage
LIT401,AIT501,0.47362918856660324,0.47362918856660324,adjacent_stage
LIT401,FIT502,0.4714811206810209,0.4714811206810209,adjacent_stage
LIT401,P402,0.4507176407386633,0.4507176407386633,adjacent_stage
LIT401,P501,0.4492552784286664,0.4492552784286664,adjacent_stage
LIT401,UV401,0.4481146546948668,0.4481146546948668,adjacent_stage
LIT401,PIT501,0.4464757901534698,0.4464757901534698,adjacent_stage
LIT401,FIT503,0.4428121736249176,0.4428121736249176,adjacent_stage
AIT501,AIT504,-0.5175915412669693,0.5175915412669693,adjacent_stage
AIT501,PIT503,0.47474079766748206,0.47474079766748206,adjacent_stage
AIT501,LIT401,0.47362918856660324,0.47362918856660324,adjacent_stage
AIT501,FIT503,0.4649493637776404,0.4649493637776404,adjacent_stage
AIT501,FIT501,0.46233101140077887,0.46233101140077887,adjacent_stage
AIT501,PIT501,0.4605046120963153,0.4605046120963153,adjacent_stage
AIT501,FIT401,0.4553087048786074,0.4553087048786074,adjacent_stage
AIT501,P501,0.45481969037208964,0.45481969037208964,adjacent_stage
AIT501,FIT504,0.45359908101570307,0.45359908101570307,adjacent_stage
AIT501,P402,0.44822056160061424,0.44822056160061424,adjacent_stage
AIT502,AIT402,0.9756356889539171,0.9756356889539171,adjacent_stage
AIT502,AIT401,-0.5782211221109949,0.5782211221109949,adjacent_stage
AIT502,PIT502,0.33639811616465903,0.33639811616465903,adjacent_stage
AIT502,FIT502,-0.23163667063129112,0.23163667063129112,adjacent_stage
AIT502,LIT401,-0.19618277064797773,0.19618277064797773,adjacent_stage
AIT502,FIT501,-0.17843549233900177,0.17843549233900177,adjacent_stage
AIT502,FIT401,-0.17627296807031057,0.17627296807031057,adjacent_stage
AIT502,PIT503,0.11089012808408721,0.11089012808408721,adjacent_stage
AIT502,P501,-0.09532628754159188,0.09532628754159188,adjacent_stage
AIT502,UV401,-0.09249691585184182,0.09249691585184182,adjacent_stage
AIT503,AIT501,0.27044724901891143,0.27044724901891143,adjacent_stage
AIT503,AIT401,-0.126525017824393,0.126525017824393,adjacent_stage
AIT503,AIT502,-0.07585376031688988,0.07585376031688988,adjacent_stage
AIT503,FIT504,0.06217626914673155,0.06217626914673155,adjacent_stage
AIT503,FIT503,0.05792967703893894,0.05792967703893894,adjacent_stage
AIT503,P501,0.05654235939410287,0.05654235939410287,adjacent_stage
AIT503,FIT401,0.05615530400874938,0.05615530400874938,adjacent_stage
AIT503,FIT501,0.05565817620192018,0.05565817620192018,adjacent_stage
AIT503,PIT503,0.054342882253043026,0.054342882253043026,adjacent_stage
AIT503,UV401,0.05414463480824247,0.05414463480824247,adjacent_stage
AIT504,FIT504,-0.893471032700803,0.893471032700803,adjacent_stage
AIT504,FIT503,-0.8892559466490694,0.8892559466490694,adjacent_stage
AIT504,P501,-0.8888072409590642,0.8888072409590642,adjacent_stage
AIT504,PIT501,-0.8798324151549887,0.8798324151549887,adjacent_stage
