target,dependency,correlation,abs_correlation,strategy
FIT101,MV101,0.9609630619146914,0.9609630619146914,entire_plant
FIT101,LIT101,-0.6167257775398134,0.6167257775398134,entire_plant
FIT101,LIT301,0.38660288791062936,0.38660288791062936,entire_plant
FIT101,LIT401,0.3715139088610938,0.3715139088610938,entire_plant
FIT101,P203,0.1889065355686933,0.1889065355686933,entire_plant
FIT101,FIT201,0.18675581221555698,0.18675581221555698,entire_plant
FIT101,P101,0.18023948262526182,0.18023948262526182,entire_plant
FIT101,P302,-0.17655487318596372,0.17655487318596372,entire_plant
FIT101,FIT301,-0.16447469856605912,0.16447469856605912,entire_plant
FIT101,DPIT301,-0.1609904767623845,0.1609904767623845,entire_plant
LIT101,FIT201,-0.6299026730380507,0.6299026730380507,entire_plant
LIT101,P203,-0.6298318613619801,0.6298318613619801,entire_plant
LIT101,P101,-0.6208306307734468,0.6208306307734468,entire_plant
LIT101,FIT101,-0.6167257775398134,0.6167257775398134,entire_plant
LIT101,MV101,-0.5784882096213823,0.5784882096213823,entire_plant
LIT101,MV201,-0.5630875830357198,0.5630875830357198,entire_plant
LIT101,P205,-0.4990307126162927,0.4990307126162927,entire_plant
LIT101,FIT504,0.19420623600059128,0.19420623600059128,entire_plant
LIT101,P501,0.19127028521500677,0.19127028521500677,entire_plant
LIT101,P402,0.19095887280543303,0.19095887280543303,entire_plant
AIT201,AIT202,-0.909538797638162,0.909538797638162,entire_plant
AIT201,AIT501,0.7343124089838687,0.7343124089838687,entire_plant
AIT201,AIT203,0.7331730133232084,0.7331730133232084,entire_plant
AIT201,AIT502,0.5915817875456909,0.5915817875456909,entire_plant
AIT201,AIT402,0.5882221476769073,0.5882221476769073,entire_plant
AIT201,PIT502,0.5747705658077812,0.5747705658077812,entire_plant
AIT201,AIT504,-0.2927659601468731,0.2927659601468731,entire_plant
AIT201,P201,-0.28549045705569,0.28549045705569,entire_plant
AIT201,AIT401,0.11932486919151887,0.11932486919151887,entire_plant
AIT201,FIT501,0.06699652952355428,0.06699652952355428,entire_plant
AIT202,AIT201,-0.909538797638162,0.909538797638162,entire_plant
AIT202,AIT501,-0.4327984246603494,0.4327984246603494,entire_plant
AIT202,AIT402,-0.36374833884473307,0.36374833884473307,entire_plant
AIT202,AIT502,-0.30766183283777837,0.30766183283777837,entire_plant
AIT202,MV201,-0.2910709571978144,0.2910709571978144,entire_plant
AIT202,PIT502,-0.2856090035122496,0.2856090035122496,entire_plant
AIT202,P203,-0.25407671018062417,0.25407671018062417,entire_plant
AIT202,FIT201,-0.2534361159699805,0.2534361159699805,entire_plant
AIT202,P101,-0.25248611289442996,0.25248611289442996,entire_plant
AIT202,P201,0.24536461927366165,0.24536461927366165,entire_plant
AIT203,AIT401,-0.8762728611493439,0.8762728611493439,entire_plant
AIT203,AIT201,0.7331730133232083,0.7331730133232083,entire_plant
AIT203,AIT402,0.6375448767989499,0.6375448767989499,entire_plant
AIT203,AIT502,0.6159915634567492,0.6159915634567492,entire_plant
AIT203,MV201,0.3509937695298927,0.3509937695298927,entire_plant
AIT203,P205,-0.2716864441814955,0.2716864441814955,entire_plant
AIT203,AIT503,0.19925897372958515,0.19925897372958515,entire_plant
AIT203,P201,-0.18731901115418012,0.18731901115418012,entire_plant
AIT203,LIT301,-0.1699862178297231,0.1699862178297231,entire_plant
AIT203,LIT401,-0.16810912528813776,0.16810912528813776,entire_plant
FIT201,P203,0.9959307956748427,0.9959307956748427,entire_plant
FIT201,P101,0.991476691699604,0.991476691699604,entire_plant
FIT201,MV201,0.9711589848093972,0.9711589848093972,entire_plant
FIT201,P205,0.855371187353614,0.855371187353614,entire_plant
FIT201,LIT101,-0.6299026730380507,0.6299026730380507,entire_plant
FIT201,DPIT301,0.47918813715021463,0.47918813715021463,entire_plant
FIT201,FIT301,0.47899195728547656,0.47899195728547656,entire_plant
FIT201,P302,0.45012055879561663,0.45012055879561663,entire_plant
FIT201,MV302,0.4483681787338882,0.4483681787338882,entire_plant
FIT201,LIT301,-0.28730354489612464,0.28730354489612464,entire_plant
DPIT301,FIT301,0.975713989888311,0.975713989888311,entire_plant
DPIT301,P302,0.9502927603340723,0.9502927603340723,entire_plant
DPIT301,MV302,0.943846791115032,0.943846791115032,entire_plant
DPIT301,P101,0.48860494665170434,0.48860494665170434,entire_plant
DPIT301,P203,0.4827311991825846,0.4827311991825846,entire_plant
DPIT301,FIT201,0.4791881371502147,0.4791881371502147,entire_plant
DPIT301,P205,0.4213828636510486,0.4213828636510486,entire_plant
DPIT301,MV201,0.3832195544986375,0.3832195544986375,entire_plant
DPIT301,LIT301,-0.33123759132599717,0.33123759132599717,entire_plant
DPIT301,MV303,-0.3130161160775008,0.3130161160775008,entire_plant
FIT301,DPIT301,0.9757139898883112,0.9757139898883112,entire_plant
FIT301,P302,0.9701358378551487,0.9701358378551487,entire_plant
FIT301,MV302,0.8883132892173562,0.8883132892173562,entire_plant
FIT301,P101,0.4887582371372836,0.4887582371372836,entire_plant
FIT301,P203,0.48297521201207944,0.48297521201207944,entire_plant
FIT301,FIT201,0.4789919572854766,0.4789919572854766,entire_plant
FIT301,P205,0.42012156950697116,0.42012156950697116,entire_plant
FIT301,MV201,0.37146435406010564,0.37146435406010564,entire_plant
FIT301,LIT301,-0.32030470001569084,0.32030470001569084,entire_plant
FIT301,MV303,-0.2781496602122223,0.2781496602122223,entire_plant
LIT301,LIT401,0.5821008965725731,0.5821008965725731,entire_plant
LIT301,MV101,0.5058908318462503,0.5058908318462503,entire_plant
LIT301,FIT501,0.4552074514756926,0.4552074514756926,entire_plant
LIT301,FIT401,0.4526381553314909,0.4526381553314909,entire_plant
LIT301,FIT502,0.4462154952803408,0.4462154952803408,entire_plant
LIT301,P501,0.4437841570014506,0.4437841570014506,entire_plant
LIT301,P402,0.4429635006658391,0.4429635006658391,entire_plant
LIT301,FIT503,0.44149229417844754,0.44149229417844754,entire_plant
LIT301,UV401,0.4409730045574756,0.4409730045574756,entire_plant
LIT301,PIT501,0.4390576328509456,0.4390576328509456,entire_plant
AIT401,AIT203,-0.8762728611493439,0.8762728611493439,entire_plant
AIT401,AIT402,-0.5812886769960972,0.5812886769960972,entire_plant
AIT401,AIT502,-0.5782211221109949,0.5782211221109949,entire_plant
AIT401,P205,0.35974224674878585,0.35974224674878585,entire_plant
AIT401,FIT502,0.22988529526804244,0.22988529526804244,entire_plant
AIT401,LIT401,0.2142990880207064,0.2142990880207064,entire_plant
AIT401,FIT501,0.2084703719013408,0.2084703719013408,entire_plant
AIT401,FIT401,0.205343074709804,0.205343074709804,entire_plant
AIT401,LIT301,0.18056800523507283,0.18056800523507283,entire_plant
AIT401,AIT501,0.17525616935205152,0.17525616935205152,entire_plant
AIT402,AIT502,0.975635688953917,0.975635688953917,entire_plant
AIT402,AIT203,0.6375448767989499,0.6375448767989499,entire_plant
