target,dependency,correlation,abs_correlation,strategy
FIT101,MV101,0.9609630619146914,0.9609630619146914,same_stage
FIT101,LIT101,-0.6167257775398134,0.6167257775398134,same_stage
FIT101,P101,0.18023948262526182,0.18023948262526182,same_stage
FIT101,P102,-0.006158239545644067,0.006158239545644067,same_stage
LIT101,P101,-0.6208306307734468,0.6208306307734468,same_stage
LIT101,FIT101,-0.6167257775398134,0.6167257775398134,same_stage
LIT101,MV101,-0.5784882096213823,0.5784882096213823,same_stage
LIT101,P102,0.0017249098693998754,0.0017249098693998754,same_stage
AIT201,AIT202,-0.909538797638162,0.909538797638162,same_stage
AIT201,AIT203,0.7331730133232084,0.7331730133232084,same_stage
AIT201,P201,-0.28549045705569,0.28549045705569,same_stage
AIT201,FIT201,-0.02429867820080226,0.02429867820080226,same_stage
AIT201,P203,-0.021407425331096314,0.021407425331096314,same_stage
AIT201,P205,-0.021232262014855105,0.021232262014855105,same_stage
AIT201,MV201,-0.021006805508664367,0.021006805508664367,same_stage
AIT202,AIT201,-0.909538797638162,0.909538797638162,same_stage
AIT202,MV201,-0.2910709571978144,0.2910709571978144,same_stage
AIT202,P203,-0.25407671018062417,0.25407671018062417,same_stage
AIT202,FIT201,-0.2534361159699805,0.2534361159699805,same_stage
AIT202,P201,0.24536461927366165,0.24536461927366165,same_stage
AIT202,P205,-0.17634465863942328,0.17634465863942328,same_stage
AIT202,AIT203,-0.011781061685145262,0.011781061685145262,same_stage
AIT203,AIT201,0.7331730133232083,0.7331730133232083,same_stage
AIT203,MV201,0.3509937695298927,0.3509937695298927,same_stage
AIT203,P205,-0.2716864441814955,0.2716864441814955,same_stage
AIT203,P201,-0.18731901115418012,0.18731901115418012,same_stage
AIT203,FIT201,0.13496341458458525,0.13496341458458525,same_stage
AIT203,P203,0.133022120843351,0.133022120843351,same_stage
AIT203,AIT202,-0.011781061685145262,0.011781061685145262,same_stage
FIT201,P203,0.9959307956748427,0.9959307956748427,same_stage
FIT201,MV201,0.9711589848093972,0.9711589848093972,same_stage
FIT201,P205,0.855371187353614,0.855371187353614,same_stage
FIT201,AIT202,-0.2534361159699805,0.2534361159699805,same_stage
FIT201,P201,0.22984765707975552,0.22984765707975552,same_stage
FIT201,AIT203,0.13496341458458525,0.13496341458458525,same_stage
FIT201,AIT201,-0.02429867820080226,0.02429867820080226,same_stage
DPIT301,FIT301,0.975713989888311,0.975713989888311,same_stage
DPIT301,P302,0.9502927603340723,0.9502927603340723,same_stage
DPIT301,MV302,0.943846791115032,0.943846791115032,same_stage
DPIT301,LIT301,-0.33123759132599717,0.33123759132599717,same_stage
DPIT301,MV303,-0.3130161160775008,0.3130161160775008,same_stage
DPIT301,MV304,-0.20070852268957143,0.20070852268957143,same_stage
DPIT301,MV301,-0.12868615892628274,0.12868615892628274,same_stage
DPIT301,P301,0.028691120770079227,0.028691120770079227,same_stage
FIT301,DPIT301,0.9757139898883112,0.9757139898883112,same_stage
FIT301,P302,0.9701358378551487,0.9701358378551487,same_stage
FIT301,MV302,0.8883132892173562,0.8883132892173562,same_stage
FIT301,LIT301,-0.32030470001569084,0.32030470001569084,same_stage
FIT301,MV303,-0.2781496602122223,0.2781496602122223,same_stage
FIT301,MV301,-0.11449385988710196,0.11449385988710196,same_stage
FIT301,MV304,-0.07961567385842434,0.07961567385842434,same_stage
FIT301,P301,0.02342315187659276,0.02342315187659276,same_stage
LIT301,DPIT301,-0.33123759132599717,0.33123759132599717,same_stage
LIT301,P301,-0.33117747138358516,0.33117747138358516,same_stage
LIT301,FIT301,-0.32030470001569084,0.32030470001569084,same_stage
LIT301,MV302,-0.3131293233609481,0.3131293233609481,same_stage
LIT301,P302,-0.26316566917375134,0.26316566917375134,same_stage
LIT301,MV304,0.039343159267898914,0.039343159267898914,same_stage
LIT301,MV303,0.020730925129368163,0.020730925129368163,same_stage
LIT301,MV301,-0.012743607643904387,0.012743607643904387,same_stage
AIT401,AIT402,-0.5812886769960972,0.5812886769960972,same_stage
AIT401,LIT401,0.2142990880207064,0.2142990880207064,same_stage
AIT401,FIT401,0.205343074709804,0.205343074709804,same_stage
AIT401,P402,0.15800133050023418,0.15800133050023418,same_stage
AIT401,UV401,0.15681674961963565,0.15681674961963565,same_stage
AIT401,P403,0.0023939443464431965,0.0023939443464431965,same_stage
AIT402,AIT401,-0.5812886769960972,0.5812886769960972,same_stage
AIT402,LIT401,-0.17475161906211106,0.17475161906211106,same_stage
AIT402,FIT401,-0.10663161588369015,0.10663161588369015,same_stage
AIT402,P403,0.06060327372490222,0.06060327372490222,same_stage
AIT402,UV401,-0.02955959775317973,0.02955959775317973,same_stage
AIT402,P402,-0.027793182732581315,0.027793182732581315,same_stage
FIT401,UV401,0.9830488866407674,0.9830488866407674,same_stage
FIT401,P402,0.9796789402109276,0.9796789402109276,same_stage
FIT401,LIT401,0.47390502699393516,0.47390502699393516,same_stage
FIT401,AIT401,0.205343074709804,0.205343074709804,same_stage
FIT401,AIT402,-0.10663161588369015,0.10663161588369015,same_stage
FIT401,P403,-0.010223669419768825,0.010223669419768825,same_stage
LIT401,FIT401,0.47390502699393516,0.47390502699393516,same_stage
LIT401,P402,0.4507176407386633,0.4507176407386633,same_stage
LIT401,UV401,0.4481146546948668,0.4481146546948668,same_stage
LIT401,AIT401,0.2142990880207064,0.2142990880207064,same_stage
LIT401,AIT402,-0.17475161906211104,0.17475161906211104,same_stage
LIT401,P403,-0.04449913023273918,0.04449913023273918,same_stage
AIT501,AIT504,-0.5175915412669693,0.5175915412669693,same_stage
AIT501,PIT503,0.47474079766748206,0.47474079766748206,same_stage
AIT501,FIT503,0.4649493637776404,0.4649493637776404,same_stage
AIT501,FIT501,0.46233101140077887,0.46233101140077887,same_stage
