target,dependency,importance,strategy
FIT101,MV101,0.9845937243840491,entire_plant
FIT101,LIT101,0.006250259509997052,entire_plant
FIT101,AIT501,0.0013648020569661293,entire_plant
FIT101,LIT301,0.0008711861512073864,entire_plant
FIT101,AIT504,0.000790259317898954,entire_plant
FIT101,FIT201,0.0006053356722470984,entire_plant
FIT101,LIT401,0.000497398096281266,entire_plant
FIT101,AIT203,0.00042059566486855134,entire_plant
FIT101,FIT502,0.00041254256046506396,entire_plant
FIT101,FIT501,0.000341696762864313,entire_plant
LIT101,MV101,0.3538047821516518,entire_plant
LIT101,FIT201,0.24127997222618297,entire_plant
LIT101,LIT401,0.14014558467153718,entire_plant
LIT101,LIT301,0.12805765267833158,entire_plant
LIT101,AIT201,0.02786138298893118,entire_plant
LIT101,AIT502,0.011825574250804946,entire_plant
LIT101,AIT501,0.011212270092125626,entire_plant
LIT101,AIT504,0.01018871456445229,entire_plant
LIT101,PIT503,0.009652016169909088,entire_plant
LIT101,AIT202,0.008592420844771196,entire_plant
AIT201,AIT202,0.8651720546714823,entire_plant
AIT201,AIT501,0.09133894825591049,entire_plant
AIT201,AIT504,0.015038487022007163,entire_plant
AIT201,AIT502,0.008736513554884593,entire_plant
AIT201,PIT502,0.0061755886126023795,entire_plant
AIT201,AIT402,0.004778125344872754,entire_plant
AIT201,FIT501,0.0023659181885551284,entire_plant
AIT201,FIT201,0.0014757282061301927,entire_plant
AIT201,PIT501,0.001231165167380128,entire_plant
AIT201,AIT203,0.001043942719052955,entire_plant
AIT202,AIT201,0.7377967658581522,entire_plant
AIT202,AIT203,0.12300496175983404,entire_plant
AIT202,AIT402,0.07674899308478073,entire_plant
AIT202,FIT201,0.017686237035669832,entire_plant
AIT202,LIT301,0.005224438838249105,entire_plant
AIT202,PIT501,0.005102080043317089,entire_plant
AIT202,LIT101,0.004863910851665142,entire_plant
AIT202,AIT503,0.003932919175881889,entire_plant
AIT202,AIT501,0.003927241329136975,entire_plant
AIT202,PIT502,0.003167939938077135,entire_plant
AIT203,AIT202,0.7906869392406801,entire_plant
AIT203,AIT501,0.06724699507350722,entire_plant
AIT203,FIT201,0.05176972569536143,entire_plant
AIT203,AIT402,0.03209270749043721,entire_plant
AIT203,AIT201,0.030538815098326545,entire_plant
AIT203,LIT401,0.013055665106756863,entire_plant
AIT203,LIT301,0.0038109782013196437,entire_plant
AIT203,AIT503,0.0020576321170133857,entire_plant
AIT203,FIT501,0.002020142466095765,entire_plant
AIT203,LIT101,0.0012941497246222705,entire_plant
FIT201,P205,0.8134266426716948,entire_plant
FIT201,P203,0.17853854527927568,entire_plant
FIT201,LIT301,0.004289952799990379,entire_plant
FIT201,MV201,0.002609972146728296,entire_plant
FIT201,LIT101,0.00010504784137502892,entire_plant
FIT201,FIT504,9.271824623730685e-05,entire_plant
FIT201,P101,8.790477251534198e-05,entire_plant
FIT201,LIT401,8.338597705440363e-05,entire_plant
FIT201,FIT502,8.327114470911659e-05,entire_plant
FIT201,DPIT301,7.206910768499337e-05,entire_plant
DPIT301,MV302,0.9584298070945101,entire_plant
DPIT301,FIT301,0.03307663913866797,entire_plant
DPIT301,AIT202,0.0010648810399544661,entire_plant
DPIT301,FIT601,0.0010413782982214687,entire_plant
