target,dependency,mi_score,strategy
FIT101,MV101,0.585137112162851,adjacent_stage
FIT101,LIT101,0.291150397107808,adjacent_stage
FIT101,AIT201,0.2646123477621183,adjacent_stage
FIT101,AIT203,0.15973716218771195,adjacent_stage
FIT101,FIT201,0.15221324891968546,adjacent_stage
LIT101,AIT203,1.1495229738670902,adjacent_stage
LIT101,AIT201,1.0619297076038752,adjacent_stage
LIT101,AIT202,0.7934349710702531,adjacent_stage
LIT101,FIT201,0.5818129792644218,adjacent_stage
LIT101,FIT101,0.29169206448973206,adjacent_stage
AIT201,AIT203,3.656718571531437,adjacent_stage
AIT201,AIT202,3.0803168227371716,adjacent_stage
AIT201,DPIT301,1.6845840526148237,adjacent_stage
AIT201,LIT301,1.240570113772372,adjacent_stage
AIT201,FIT301,1.2245510406248998,adjacent_stage
AIT202,AIT201,3.081484403254442,adjacent_stage
AIT202,AIT203,3.007976010084856,adjacent_stage
AIT202,DPIT301,1.189146796483965,adjacent_stage
AIT202,LIT301,1.0383267710302242,adjacent_stage
AIT202,FIT201,0.9322629216341749,adjacent_stage
AIT203,AIT201,3.6563514229279326,adjacent_stage
AIT203,AIT202,3.0088952346905735,adjacent_stage
AIT203,DPIT301,1.453975008026755,adjacent_stage
AIT203,LIT301,1.4477562325218019,adjacent_stage
AIT203,LIT101,1.149968455035581,adjacent_stage
FIT201,AIT203,1.1388731322020575,adjacent_stage
FIT201,AIT201,1.1260163338851035,adjacent_stage
FIT201,AIT202,0.9301031985367967,adjacent_stage
FIT201,LIT101,0.5823845789496715,adjacent_stage
FIT201,P205,0.5577604616841398,adjacent_stage
DPIT301,AIT201,1.6858267848122432,adjacent_stage
DPIT301,AIT203,1.4540363175970024,adjacent_stage
DPIT301,AIT202,1.1880279503735984,adjacent_stage
DPIT301,AIT402,1.0424050209211,adjacent_stage
DPIT301,FIT301,0.982375150297214,adjacent_stage
FIT301,AIT201,1.224438331398785,adjacent_stage
FIT301,AIT203,1.0796344247099743,adjacent_stage
FIT301,DPIT301,0.9826207376773404,adjacent_stage
FIT301,AIT202,0.9137507443418205,adjacent_stage
FIT301,AIT402,0.7280606021188643,adjacent_stage
LIT301,LIT401,1.5515683568329255,adjacent_stage
LIT301,AIT203,1.4480716152705293,adjacent_stage
LIT301,AIT201,1.240511633524445,adjacent_stage
LIT301,AIT202,1.0384728047012572,adjacent_stage
LIT301,AIT402,0.8714622095628375,adjacent_stage
AIT401,PIT502,0.27091058025920045,adjacent_stage
AIT401,AIT501,0.2136761286400901,adjacent_stage
AIT401,AIT402,0.12728288237503538,adjacent_stage
AIT401,DPIT301,0.11009751939090595,adjacent_stage
AIT401,AIT502,0.10690096301526797,adjacent_stage
AIT402,AIT502,2.176223044128494,adjacent_stage
AIT402,AIT501,1.9206224204931512,adjacent_stage
