target,dependency,mi_score,strategy
FIT101,MV101,0.589234304878282,entire_plant
FIT101,LIT301,0.2952185645414307,entire_plant
FIT101,LIT101,0.29066283894646006,entire_plant
FIT101,AIT201,0.2648838706260568,entire_plant
FIT101,LIT401,0.25857129825879177,entire_plant
LIT101,LIT301,1.3707257835407374,entire_plant
LIT101,LIT401,1.3105807882916967,entire_plant
LIT101,AIT203,1.150190595525216,entire_plant
LIT101,AIT201,1.0618147798547382,entire_plant
LIT101,AIT202,0.7934067814714174,entire_plant
AIT201,AIT203,3.6570980688579535,entire_plant
AIT201,AIT501,3.1802658356025884,entire_plant
AIT201,AIT202,3.0821173017166794,entire_plant
AIT201,AIT402,2.8195665419711897,entire_plant
AIT201,AIT503,2.7963615869975325,entire_plant
AIT202,AIT201,3.0804003979198127,entire_plant
AIT202,AIT203,3.007173704603936,entire_plant
AIT202,AIT503,2.12109830244579,entire_plant
AIT202,AIT402,2.117881623277193,entire_plant
AIT202,AIT501,2.1129642868694436,entire_plant
AIT203,AIT201,3.6562000470657834,entire_plant
AIT203,AIT202,3.0084893212378034,entire_plant
AIT203,AIT503,2.8326818599636443,entire_plant
AIT203,AIT402,2.69853444173401,entire_plant
AIT203,AIT501,2.698380795774237,entire_plant
FIT201,AIT203,1.1383593244259362,entire_plant
FIT201,AIT201,1.1271594981941213,entire_plant
FIT201,AIT202,0.931301606060261,entire_plant
FIT201,AIT402,0.6327069214630949,entire_plant
FIT201,AIT503,0.6213210423162518,entire_plant
DPIT301,AIT201,1.6838419006493819,entire_plant
DPIT301,AIT203,1.4557868403696936,entire_plant
DPIT301,AIT202,1.1911306412874287,entire_plant
DPIT301,AIT501,1.050251363133115,entire_plant
DPIT301,AIT402,1.042899908571517,entire_plant
FIT301,AIT201,1.2250885442797879,entire_plant
FIT301,AIT203,1.079143043964292,entire_plant
FIT301,DPIT301,0.9802897236404888,entire_plant
FIT301,AIT202,0.9134890591887608,entire_plant
FIT301,AIT501,0.7396620368542948,entire_plant
LIT301,LIT401,1.5514737331265698,entire_plant
LIT301,AIT203,1.4470043091993956,entire_plant
LIT301,LIT101,1.370561652447706,entire_plant
LIT301,AIT201,1.240151405275478,entire_plant
LIT301,AIT503,1.1972915036292218,entire_plant
AIT401,AIT201,0.503455580488759,entire_plant
AIT401,PIT502,0.27334614745825103,entire_plant
AIT401,AIT501,0.21184523811978373,entire_plant
AIT401,AIT203,0.19815751471855503,entire_plant
AIT401,AIT202,0.16689493879578698,entire_plant
AIT402,AIT201,2.820507307444548,entire_plant
AIT402,AIT203,2.6973084534396436,entire_plant
AIT402,AIT502,2.1745241197248815,entire_plant
AIT402,AIT202,2.1199268002704406,entire_plant
AIT402,AIT501,1.9222545211920092,entire_plant
FIT401,FIT501,1.381902381670855,entire_plant
FIT401,AIT201,1.2357284234480508,entire_plant
FIT401,AIT203,1.0088120414668813,entire_plant
FIT401,AIT202,0.8062268053036785,entire_plant
FIT401,PIT501,0.7096903860498562,entire_plant
LIT401,AIT203,1.707363500667788,entire_plant
LIT401,LIT301,1.551627655301833,entire_plant
LIT401,AIT201,1.415438745648899,entire_plant
LIT401,AIT503,1.3234620906647718,entire_plant
LIT401,LIT101,1.310897622155844,entire_plant
AIT501,AIT201,3.178865497435619,entire_plant
AIT501,AIT203,2.6989770368699704,entire_plant
AIT501,AIT202,2.111557508832427,entire_plant
AIT501,AIT402,1.9225415168622488,entire_plant
AIT501,AIT503,1.9099439394545463,entire_plant
AIT502,AIT201,2.589492788397811,entire_plant
AIT502,AIT203,2.4789153570834808,entire_plant
AIT502,AIT402,2.1755293532070317,entire_plant
AIT502,AIT202,1.9189068439277017,entire_plant
AIT502,AIT501,1.7093518789513942,entire_plant
AIT503,AIT203,2.835090369037334,entire_plant
AIT503,AIT201,2.7984982018051285,entire_plant
AIT503,AIT202,2.1220766768414574,entire_plant
AIT503,AIT501,1.9112828263385948,entire_plant
AIT503,AIT402,1.8498345247077568,entire_plant
AIT504,AIT201,2.1465737764329385,entire_plant
AIT504,AIT203,1.7534651160836585,entire_plant
AIT504,AIT202,1.3807432694698196,entire_plant
AIT504,AIT501,1.3337924561183954,entire_plant
AIT504,AIT503,1.2229393930925418,entire_plant
FIT501,AIT201,1.427626820997613,entire_plant
FIT501,FIT401,1.3794185373858658,entire_plant
FIT501,AIT203,1.182608150371932,entire_plant
FIT501,AIT202,0.9301968320183809,entire_plant
FIT501,AIT501,0.8156016146198457,entire_plant
FIT502,FIT501,0.20958967756826397,entire_plant
FIT502,AIT201,0.20795420114847651,entire_plant
FIT502,FIT401,0.20734726819726657,entire_plant
FIT502,PIT501,0.17484065807979032,entire_plant
FIT502,PIT503,0.16796033296879642,entire_plant
FIT503,AIT201,1.0859309918135365,entire_plant
FIT503,PIT503,0.7931018798901519,entire_plant
FIT503,AIT203,0.7922296259080612,entire_plant
FIT503,PIT501,0.7652407344207113,entire_plant
FIT503,AIT202,0.6598529156658905,entire_plant
FIT504,AIT201,0.605806895675375,entire_plant
FIT504,AIT203,0.4745238933823952,entire_plant
FIT504,FIT501,0.41282910950027496,entire_plant
FIT504,FIT401,0.3964117675009087,entire_plant
FIT504,AIT202,0.36672165752798236,entire_plant
PIT501,PIT503,2.121326264257248,entire_plant
PIT501,AIT201,2.097595534234835,entire_plant
PIT501,AIT203,1.8468181447940228,entire_plant
PIT501,AIT202,1.4321280609175648,entire_plant
PIT501,AIT501,1.2712467037326975,entire_plant
PIT502,AIT201,1.5338809396583244,entire_plant
PIT502,AIT203,0.9772811282506719,entire_plant
PIT502,AIT501,0.8493409730802775,entire_plant
PIT502,AIT202,0.8340195988223975,entire_plant
PIT502,AIT402,0.6517958677866869,entire_plant
PIT503,PIT501,2.1213622065789224,entire_plant
PIT503,AIT201,1.9895672936755613,entire_plant
PIT503,AIT203,1.7746534142194221,entire_plant
PIT503,AIT202,1.3640915058459582,entire_plant
PIT503,AIT503,1.1931292465392618,entire_plant
FIT601,AIT201,0.7242972046881047,entire_plant
FIT601,PIT502,0.5735750218523652,entire_plant
FIT601,AIT202,0.38296315553886373,entire_plant
FIT601,DPIT301,0.37750483254673384,entire_plant
FIT601,AIT501,0.3727005231720302,entire_plant
