target,dependency,mi_score,strategy
FIT101,MV101,0.5848258046757522,same_stage
FIT101,LIT101,0.29073671340696094,same_stage
FIT101,P101,0.003716194706417042,same_stage
FIT101,P102,0.00038890761567333954,same_stage
LIT101,FIT101,0.2910788108253932,same_stage
LIT101,MV101,0.27201202490698684,same_stage
LIT101,P101,0.24177989300334346,same_stage
LIT101,P102,0.00031955893646173905,same_stage
AIT201,AIT203,3.6592001467014716,same_stage
AIT201,AIT202,3.082350074919839,same_stage
AIT201,FIT201,1.1239762503747528,same_stage
AIT201,MV201,0.20664007843498888,same_stage
AIT201,P205,0.20571023750282258,same_stage
AIT202,AIT201,3.081426529428551,same_stage
AIT202,AIT203,3.0079709211969163,same_stage
AIT202,FIT201,0.9311846980057874,same_stage
AIT202,P205,0.28809019269487246,same_stage
AIT202,P203,0.28743362471586176,same_stage
AIT203,AIT201,3.6567919444671864,same_stage
AIT203,AIT202,3.008773637965377,same_stage
AIT203,FIT201,1.1401701266741888,same_stage
AIT203,MV201,0.30552427646908287,same_stage
AIT203,P203,0.3009395167994926,same_stage
FIT201,AIT203,1.137737857091473,same_stage
FIT201,AIT201,1.1236507621791443,same_stage
FIT201,AIT202,0.9312092161043442,same_stage
FIT201,P205,0.5604184421929075,same_stage
FIT201,P203,0.5580586586715741,same_stage
DPIT301,FIT301,0.9816514328916064,same_stage
DPIT301,LIT301,0.5447562737581997,same_stage
DPIT301,MV302,0.48931735849165836,same_stage
DPIT301,P302,0.419915046067584,same_stage
DPIT301,MV304,0.16965909524814649,same_stage
FIT301,DPIT301,0.9818544362141246,same_stage
FIT301,LIT301,0.4588163570759356,same_stage
FIT301,MV302,0.44702406299009834,same_stage
FIT301,P302,0.41984040647508536,same_stage
FIT301,MV303,0.1319951398627941,same_stage
LIT301,DPIT301,0.5442005301517154,same_stage
LIT301,FIT301,0.45850173596249544,same_stage
LIT301,MV302,0.2409787799255403,same_stage
LIT301,P302,0.20450344761941253,same_stage
LIT301,MV304,0.06250679399653336,same_stage
AIT401,AIT402,0.5067774688831168,same_stage
AIT401,FIT401,0.17607323346528503,same_stage
AIT401,LIT401,0.05413875099057641,same_stage
AIT401,UV401,0.0077180810674732925,same_stage
AIT401,P402,0.007457640249034725,same_stage
AIT402,LIT401,1.6353042616101936,same_stage
AIT402,FIT401,1.3397125982506903,same_stage
AIT402,AIT401,0.5058902336463467,same_stage
AIT402,P402,0.011212311239593653,same_stage
AIT402,UV401,0.010307127182642262,same_stage
FIT401,AIT402,1.340062068045369,same_stage
FIT401,LIT401,0.5822822645218846,same_stage
FIT401,AIT401,0.17739126852886145,same_stage
FIT401,UV401,0.022813006877455244,same_stage
FIT401,P402,0.022168171040592988,same_stage
LIT401,AIT402,1.6347304529807394,same_stage
LIT401,FIT401,0.5819146222200544,same_stage
LIT401,AIT401,0.054259750071380175,same_stage
LIT401,UV401,0.021147224492919836,same_stage
LIT401,P402,0.021055819557979305,same_stage
AIT501,AIT502,2.413992398881595,same_stage
AIT501,AIT503,1.772131204114336,same_stage
AIT501,PIT503,1.428359157913448,same_stage
AIT501,PIT501,1.4275266134699436,same_stage
AIT501,AIT504,1.3587873001371724,same_stage
AIT502,AIT501,2.413542940621503,same_stage
AIT502,AIT503,2.1053002217787,same_stage
AIT502,PIT503,1.834694871037283,same_stage
AIT502,PIT501,1.8231888410713006,same_stage
AIT502,AIT504,1.5449636746968896,same_stage
AIT503,AIT502,2.10464760072698,same_stage
AIT503,AIT501,1.7689759427354668,same_stage
AIT503,PIT501,1.1323423905257162,same_stage
AIT503,PIT503,1.1241240320188268,same_stage
AIT503,AIT504,0.8829026117538072,same_stage
AIT504,AIT502,1.5446177860508588,same_stage
AIT504,AIT501,1.3592808155762022,same_stage
AIT504,PIT501,1.1900991347393344,same_stage
AIT504,PIT503,1.1746747427022584,same_stage
AIT504,FIT503,0.916392693628497,same_stage
FIT501,AIT502,1.3173957568694439,same_stage
FIT501,PIT501,1.213052370734954,same_stage
FIT501,PIT503,1.1487360425119784,same_stage
FIT501,FIT503,1.1074376092717708,same_stage
FIT501,AIT501,0.982712295378736,same_stage
FIT502,AIT502,0.5388515154854128,same_stage
