target,dependency,importance,strategy
FIT101,MV101,0.9926157,adjacent_stage
FIT101,P203,0.00493452,adjacent_stage
FIT101,LIT101,0.0011047673,adjacent_stage
FIT101,AIT201,0.00082081207,adjacent_stage
FIT101,FIT201,0.00026647057,adjacent_stage
LIT101,MV101,0.69281226,adjacent_stage
LIT101,FIT201,0.15622914,adjacent_stage
LIT101,MV201,0.10276297,adjacent_stage
LIT101,AIT201,0.016688682,adjacent_stage
LIT101,AIT202,0.0125637995,adjacent_stage
AIT201,AIT202,0.80596113,adjacent_stage
AIT201,FIT201,0.14138342,adjacent_stage
AIT201,AIT203,0.014114092,adjacent_stage
AIT201,P201,0.009236508,adjacent_stage
AIT201,DPIT301,0.007082271,adjacent_stage
AIT202,AIT201,0.2906989,adjacent_stage
AIT202,P205,0.27192244,adjacent_stage
AIT202,P203,0.15383166,adjacent_stage
AIT202,P101,0.13799024,adjacent_stage
AIT202,FIT201,0.0649843,adjacent_stage
AIT203,AIT202,0.6407057,adjacent_stage
AIT203,FIT201,0.13478407,adjacent_stage
AIT203,AIT201,0.0702955,adjacent_stage
AIT203,P203,0.06385102,adjacent_stage
AIT203,P101,0.026241176,adjacent_stage
FIT201,P205,0.9969997,adjacent_stage
FIT201,MV201,0.0020071333,adjacent_stage
FIT201,LIT301,0.0006633184,adjacent_stage
FIT201,P101,0.00013115998,adjacent_stage
FIT201,MV303,3.923735e-05,adjacent_stage
DPIT301,MV302,0.98523086,adjacent_stage
DPIT301,FIT301,0.009201204,adjacent_stage
DPIT301,MV301,0.0012966888,adjacent_stage
DPIT301,MV304,0.0011158217,adjacent_stage
DPIT301,AIT401,0.000739513,adjacent_stage
FIT301,DPIT301,0.9897781,adjacent_stage
FIT301,MV304,0.0035025976,adjacent_stage
FIT301,P302,0.0023979975,adjacent_stage
FIT301,MV303,0.001296416,adjacent_stage
FIT301,MV301,0.00094787247,adjacent_stage
LIT301,FIT201,0.2261937,adjacent_stage
LIT301,MV201,0.2189523,adjacent_stage
LIT301,LIT401,0.12475481,adjacent_stage
LIT301,FIT301,0.08980399,adjacent_stage
LIT301,DPIT301,0.08769915,adjacent_stage
AIT401,PIT502,0.33461472,adjacent_stage
AIT401,LIT401,0.081891045,adjacent_stage
AIT401,PIT501,0.071841605,adjacent_stage
AIT401,AIT501,0.05634726,adjacent_stage
AIT401,AIT402,0.054187626,adjacent_stage
AIT402,P403,0.5171377,adjacent_stage
AIT402,AIT502,0.17325795,adjacent_stage
AIT402,PIT503,0.076534405,adjacent_stage
AIT402,LIT301,0.05878502,adjacent_stage
AIT402,FIT503,0.04371879,adjacent_stage
FIT401,FIT503,0.62437564,adjacent_stage
FIT401,AIT402,0.083318315,adjacent_stage
FIT401,AIT503,0.06334947,adjacent_stage
FIT401,LIT301,0.053100184,adjacent_stage
FIT401,AIT502,0.04860305,adjacent_stage
LIT401,AIT402,0.25371286,adjacent_stage
LIT401,P302,0.14198014,adjacent_stage
LIT401,FIT504,0.093820475,adjacent_stage
LIT401,FIT301,0.058032434,adjacent_stage
LIT401,FIT401,0.05754496,adjacent_stage
AIT501,AIT504,0.39838246,adjacent_stage
AIT501,LIT401,0.27137926,adjacent_stage
AIT501,AIT503,0.061416283,adjacent_stage
AIT501,AIT402,0.056092687,adjacent_stage
AIT501,AIT502,0.04093631,adjacent_stage
AIT502,AIT402,0.8649456,adjacent_stage
AIT502,AIT501,0.05197279,adjacent_stage
AIT502,FIT504,0.024054276,adjacent_stage
AIT502,FIT503,0.014057665,adjacent_stage
AIT502,PIT503,0.008330017,adjacent_stage
AIT503,FIT504,0.25549322,adjacent_stage
AIT503,AIT501,0.1390312,adjacent_stage
AIT503,AIT401,0.12357538,adjacent_stage
AIT503,FIT503,0.12325361,adjacent_stage
AIT503,AIT504,0.10366556,adjacent_stage
AIT504,P501,0.9224948,adjacent_stage
