target,dependency,importance,strategy
FIT101,MV101,0.99283767,entire_plant
FIT101,AIT501,0.0025117258,entire_plant
FIT101,LIT101,0.0015254316,entire_plant
FIT101,P203,0.0005922613,entire_plant
FIT101,AIT503,0.00038260437,entire_plant
LIT101,MV101,0.43533084,entire_plant
LIT101,FIT201,0.13433082,entire_plant
LIT101,LIT401,0.089746065,entire_plant
LIT101,MV201,0.068598405,entire_plant
LIT101,LIT301,0.038416486,entire_plant
AIT201,AIT202,0.8009991,entire_plant
AIT201,AIT501,0.09082904,entire_plant
AIT201,AIT504,0.027201805,entire_plant
AIT201,AIT502,0.017932711,entire_plant
AIT201,FIT201,0.014137437,entire_plant
AIT202,AIT201,0.35485682,entire_plant
AIT202,P205,0.18196788,entire_plant
AIT202,P203,0.1406502,entire_plant
AIT202,AIT402,0.11690264,entire_plant
AIT202,FIT201,0.06148254,entire_plant
AIT203,AIT202,0.5570611,entire_plant
AIT203,FIT201,0.09585691,entire_plant
AIT203,AIT402,0.08993121,entire_plant
AIT203,AIT501,0.08496305,entire_plant
AIT203,LIT401,0.032922912,entire_plant
FIT201,P205,0.9972691,entire_plant
FIT201,MV201,0.0014908672,entire_plant
FIT201,LIT301,0.000683646,entire_plant
FIT201,P101,0.00013035981,entire_plant
FIT201,MV303,3.769807e-05,entire_plant
DPIT301,MV302,0.9834973,entire_plant
DPIT301,FIT301,0.009133578,entire_plant
DPIT301,FIT601,0.0017247497,entire_plant
DPIT301,MV304,0.001114583,entire_plant
DPIT301,AIT201,0.0007094215,entire_plant
FIT301,DPIT301,0.9877648,entire_plant
FIT301,MV304,0.0030345721,entire_plant
FIT301,P302,0.0022535578,entire_plant
FIT301,MV301,0.0013444772,entire_plant
FIT301,MV303,0.0011854406,entire_plant
LIT301,FIT101,0.30294326,entire_plant
LIT301,MV201,0.24257816,entire_plant
LIT301,MV101,0.19525313,entire_plant
LIT301,FIT301,0.061765455,entire_plant
LIT301,LIT101,0.052108817,entire_plant
AIT401,PIT502,0.24089462,entire_plant
AIT401,MV201,0.07036723,entire_plant
AIT401,LIT401,0.06592046,entire_plant
AIT401,PIT501,0.048652794,entire_plant
AIT401,AIT501,0.042620696,entire_plant
AIT402,P403,0.21665132,entire_plant
AIT402,P101,0.19646196,entire_plant
AIT402,AIT502,0.16622502,entire_plant
AIT402,PIT503,0.085728064,entire_plant
AIT402,LIT301,0.06532263,entire_plant
FIT401,FIT503,0.58446264,entire_plant
FIT401,AIT402,0.099448636,entire_plant
FIT401,LIT301,0.06968281,entire_plant
FIT401,AIT503,0.058709737,entire_plant
FIT401,AIT502,0.038454007,entire_plant
LIT401,MV101,0.24591286,entire_plant
LIT401,AIT402,0.18067978,entire_plant
LIT401,P302,0.061885994,entire_plant
LIT401,FIT101,0.054354012,entire_plant
LIT401,P101,0.046599273,entire_plant
AIT501,AIT201,0.3519771,entire_plant
AIT501,LIT401,0.24049804,entire_plant
AIT501,AIT402,0.06551472,entire_plant
AIT501,AIT203,0.06539632,entire_plant
AIT501,PIT503,0.036853172,entire_plant
AIT502,PIT503,0.37462437,entire_plant
AIT502,AIT402,0.2868898,entire_plant
AIT502,MV303,0.09001582,entire_plant
AIT502,LIT101,0.05549338,entire_plant
AIT502,LIT401,0.049271427,entire_plant
AIT503,P201,0.38838783,entire_plant
AIT503,AIT202,0.11020169,entire_plant
AIT503,FIT503,0.09956646,entire_plant
AIT503,AIT504,0.09528589,entire_plant
AIT503,P203,0.052526664,entire_plant
AIT504,P403,0.7652376,entire_plant
AIT504,PIT503,0.06295171,entire_plant
AIT504,AIT503,0.036653195,entire_plant
AIT504,AIT201,0.03449715,entire_plant
AIT504,FIT503,0.020719536,entire_plant
FIT501,FIT503,0.84903604,entire_plant
FIT501,FIT504,0.10167381,entire_plant
FIT501,FIT401,0.03685059,entire_plant
FIT501,FIT601,0.0048102047,entire_plant
FIT501,PIT501,0.0013585456,entire_plant
FIT502,P501,0.44668835,entire_plant
FIT502,FIT503,0.23620692,entire_plant
FIT502,UV401,0.2182763,entire_plant
FIT502,FIT501,0.061208785,entire_plant
FIT502,FIT401,0.01799157,entire_plant
FIT503,FIT504,0.8133769,entire_plant
FIT503,AIT503,0.0836873,entire_plant
FIT503,LIT301,0.05202604,entire_plant
FIT503,PIT503,0.031166632,entire_plant
FIT503,FIT501,0.0067640445,entire_plant
FIT504,FIT503,0.949499,entire_plant
FIT504,FIT501,0.015305454,entire_plant
FIT504,FIT401,0.015036361,entire_plant
FIT504,AIT201,0.0054306355,entire_plant
FIT504,PIT502,0.0035980756,entire_plant
PIT501,FIT503,0.86663955,entire_plant
PIT501,PIT503,0.07550694,entire_plant
PIT501,FIT501,0.018021932,entire_plant
PIT501,FIT504,0.017737284,entire_plant
PIT501,PIT502,0.013469729,entire_plant
PIT502,FIT601,0.7235808,entire_plant
PIT502,AIT401,0.051904444,entire_plant
PIT502,FIT501,0.03288047,entire_plant
PIT502,AIT201,0.032588594,entire_plant
PIT502,FIT401,0.023702323,entire_plant
PIT503,FIT503,0.8637444,entire_plant
PIT503,PIT501,0.112496905,entire_plant
PIT503,FIT504,0.0043569915,entire_plant
PIT503,AIT201,0.0030455103,entire_plant
PIT503,AIT502,0.002935521,entire_plant
FIT601,DPIT301,0.8190186,entire_plant
FIT601,FIT301,0.07035865,entire_plant
FIT601,MV303,0.0616797,entire_plant
FIT601,P602,0.017481266,entire_plant
FIT601,MV301,0.005898106,entire_plant
