target,dependency,importance,strategy
FIT101,MV101,0.9982512,same_stage
FIT101,P101,0.0010109565,same_stage
FIT101,LIT101,0.0007367441,same_stage
FIT101,P102,1.0802956e-06,same_stage
LIT101,P101,0.54047805,same_stage
LIT101,MV101,0.45744383,same_stage
LIT101,P102,0.001358154,same_stage
LIT101,FIT101,0.0007199623,same_stage
AIT201,AIT202,0.8660823,same_stage
AIT201,FIT201,0.09971716,same_stage
AIT201,AIT203,0.018769423,same_stage
AIT201,P201,0.012853753,same_stage
AIT201,MV201,0.0023905747,same_stage
AIT202,P205,0.53569186,same_stage
AIT202,AIT201,0.22561628,same_stage
AIT202,P203,0.12963368,same_stage
AIT202,AIT203,0.05610561,same_stage
AIT202,MV201,0.027138997,same_stage
AIT203,AIT202,0.6994499,same_stage
AIT203,FIT201,0.11372502,same_stage
AIT203,P203,0.08752685,same_stage
AIT203,AIT201,0.07813329,same_stage
AIT203,P201,0.013990529,same_stage
FIT201,P205,0.9989423,same_stage
FIT201,MV201,0.0007888905,same_stage
FIT201,AIT203,9.971342e-05,same_stage
FIT201,AIT202,8.3841565e-05,same_stage
FIT201,AIT201,7.1583294e-05,same_stage
DPIT301,MV302,0.9927223,same_stage
DPIT301,FIT301,0.004764614,same_stage
DPIT301,MV301,0.0011259869,same_stage
DPIT301,MV304,0.0007142469,same_stage
DPIT301,MV303,0.00034240144,same_stage
FIT301,DPIT301,0.99099445,same_stage
FIT301,MV304,0.0033593804,same_stage
FIT301,P302,0.002015706,same_stage
FIT301,MV303,0.0015491481,same_stage
FIT301,MV301,0.0011615339,same_stage
LIT301,DPIT301,0.458892,same_stage
LIT301,FIT301,0.19755796,same_stage
LIT301,MV303,0.113812804,same_stage
LIT301,P302,0.096943095,same_stage
LIT301,MV302,0.05721017,same_stage
AIT401,AIT402,0.63530815,same_stage
AIT401,FIT401,0.251229,same_stage
AIT401,LIT401,0.049674295,same_stage
AIT401,UV401,0.044134177,same_stage
AIT401,P403,0.018998314,same_stage
AIT402,FIT401,0.45682356,same_stage
AIT402,AIT401,0.21432796,same_stage
AIT402,P402,0.13337255,same_stage
AIT402,UV401,0.075444706,same_stage
AIT402,P403,0.065113254,same_stage
FIT401,UV401,0.9973002,same_stage
FIT401,AIT402,0.0013688514,same_stage
FIT401,AIT401,0.00069028186,same_stage
FIT401,LIT401,0.0004997531,same_stage
FIT401,P403,0.00013750173,same_stage
LIT401,FIT401,0.39087945,same_stage
LIT401,P402,0.23234992,same_stage
LIT401,AIT402,0.16152573,same_stage
LIT401,AIT401,0.14601311,same_stage
LIT401,UV401,0.04548381,same_stage
AIT501,AIT504,0.5234895,same_stage
AIT501,FIT501,0.1294862,same_stage
AIT501,AIT502,0.104186684,same_stage
AIT501,FIT502,0.09677247,same_stage
AIT501,AIT503,0.05566674,same_stage
AIT502,FIT503,0.5797511,same_stage
AIT502,PIT503,0.19366384,same_stage
AIT502,FIT502,0.12737711,same_stage
AIT502,AIT501,0.053149372,same_stage
AIT502,AIT504,0.024799261,same_stage
AIT503,FIT504,0.24094923,same_stage
AIT503,FIT503,0.16960774,same_stage
AIT503,AIT504,0.1628928,same_stage
AIT503,AIT501,0.13607477,same_stage
AIT503,AIT502,0.084431805,same_stage
AIT504,P501,0.9601562,same_stage
AIT504,AIT502,0.008724589,same_stage
AIT504,AIT501,0.0064551546,same_stage
AIT504,AIT503,0.0064518386,same_stage
AIT504,FIT504,0.005566477,same_stage
FIT501,PIT502,0.9431421,same_stage
FIT501,FIT503,0.012976263,same_stage
FIT501,P501,0.012913559,same_stage
FIT501,FIT504,0.010192585,same_stage
FIT501,AIT501,0.009653337,same_stage
FIT502,P501,0.8951642,same_stage
FIT502,PIT502,0.09272449,same_stage
FIT502,FIT501,0.0085304715,same_stage
FIT502,AIT501,0.0013181197,same_stage
FIT502,FIT504,0.0009107643,same_stage
FIT503,FIT504,0.9673056,same_stage
FIT503,PIT503,0.009787947,same_stage
FIT503,PIT502,0.008716006,same_stage
FIT503,P501,0.0068790964,same_stage
FIT503,AIT501,0.0047975974,same_stage
FIT504,P501,0.9944608,same_stage
FIT504,FIT503,0.0022472597,same_stage
FIT504,FIT501,0.0010430248,same_stage
FIT504,FIT502,0.0008480876,same_stage
FIT504,PIT502,0.0006485109,same_stage
PIT501,PIT502,0.9522495,same_stage
PIT501,PIT503,0.02466941,same_stage
PIT501,FIT504,0.0110572865,same_stage
PIT501,AIT501,0.008350526,same_stage
PIT501,P501,0.0017639012,same_stage
PIT502,P501,0.49004707,same_stage
PIT502,FIT503,0.11208241,same_stage
PIT502,AIT502,0.06924254,same_stage
PIT502,FIT501,0.054686986,same_stage
PIT502,PIT501,0.054285005,same_stage
PIT503,PIT502,0.9305557,same_stage
PIT503,PIT501,0.036659606,same_stage
PIT503,AIT501,0.010287552,same_stage
PIT503,FIT504,0.008257095,same_stage
PIT503,P501,0.0073649297,same_stage
FIT601,P602,1.0,same_stage
