source,target,responses,confidence
P101,FIT201,741,98.40637450199203
P101,LIT101,734,97.47675962815406
P101,MV201,612,81.27490039840637
P101,AIT201,602,79.9468791500664
P101,P201,535,71.04913678618858
P101,MV101,499,66.26826029216467
P101,P202,496,65.86985391766268
P101,P204,496,65.86985391766268
P101,FIT101,410,54.448871181938905
P101,P203,362,48.07436918990704
P101,AIT202,361,47.941567065073045
P101,P205,334,44.35590969455511
P101,AIT203,283,37.58300132802125
P101,P102,1,0.13280212483399734
P101,P206,0,0.0
