source,target,correlation,abs_correlation
P101,P203,0.9921509055770651,0.9921509055770651
P101,FIT201,0.9914766916996037,0.9914766916996037
P101,MV201,0.9861728367886538,0.9861728367886538
P101,P205,0.8531275247796593,0.8531275247796593
P101,LIT101,-0.6208306307734467,0.6208306307734467
P101,AIT202,-0.25248611289442996,0.25248611289442996
P101,P201,0.22697960452686244,0.22697960452686244
P101,FIT101,0.1802394826252618,0.1802394826252618
P101,AIT203,0.13238060386446682,0.13238060386446682
P101,MV101,0.08770306252011753,0.08770306252011753
P101,AIT201,-0.02091118035991225,0.02091118035991225
P101,P102,-0.0027793679794901865,0.0027793679794901865
P101,P202,,
P101,P204,,
P101,P206,,
