source,target,score
P101,LIT301,1594.9014999999931
P101,LIT401,790.4505000000009
P101,LIT101,570.1856999999989
P101,FIT201,440.92858180000025
P101,P203,362.0
P101,P205,334.0
P101,PIT501,168.13144999999955
P101,PIT503,148.64829999999958
P101,AIT203,88.77180000000101
P101,AIT504,80.17170700000007
P101,DPIT301,72.5622313400001
P101,FIT101,46.589699570400015
P101,AIT503,43.002300000000105
P101,AIT502,39.63070000000005
P101,AIT402,39.014000000000465
P101,PIT502,19.254778199999965
P101,FIT502,11.568344600000005
P101,FIT601,8.954283262819999
P101,FIT301,8.214191815800003
P101,MV304,8.0
P101,MV301,5.0
P101,MV302,4.0
P101,P602,3.0
P101,FIT401,1.7615521000000067
P101,FIT501,1.436172100000002
P101,AIT202,1.3935579999999916
P101,P102,1.0
P101,FIT503,0.717087500000001
P101,FIT504,0.3805511999999999
P101,AIT501,0.23968099999999737
P101,AIT401,0.052800000000019054
P101,P206,0.0
P101,P401,0.0
P101,P302,0.0
P101,P301,0.0
P101,UV401,0.0
P101,P404,0.0
P101,P403,0.0
P101,P402,0.0
P101,P501,0.0
P101,P502,0.0
P101,P601,0.0
P101,P603,0.0
P101,MV101,
P101,AIT201,
P101,MV201,
P101,P201,
P101,P202,
P101,P204,
P101,MV303,
