category,min,max,mean,median,std,unique_count,asset,state_counts
Analog,0.0,2.700573,0.7880881352006921,0.0,1.176308480669312,838,FIT101,
Analog,189.8263,925.0323,727.4177993866829,813.0424,135.35917947732395,5830,LIT101,
Digital,,,,,,3,MV101,"{1: 37692, 2: 16836, 0: 93}"
Digital,,,,,,2,P101,"{1: 39804, 2: 14817}"
Digital,,,,,,2,P102,"{1: 51592, 2: 3029}"
Analog,168.8029,265.1884,202.22725266106445,192.9633,26.587951737297495,618,AIT201,
Analog,6.0,8.705011,8.546089186045661,8.57716,0.16592740547739274,748,AIT202,
Analog,287.9518,370.546,337.13528123249296,334.0169,21.162628105614985,1783,AIT203,
Analog,0.0,2.826899,0.6891763069990937,0.0,1.1248661097162476,708,FIT201,
Digital,,,,,,3,MV201,"{1: 39032, 2: 15485, 0: 104}"
Digital,,,,,,2,P201,"{1: 53882, 2: 739}"
Digital,,,,,,1,P202,{1: 54621}
Digital,,,,,,2,P203,"{1: 40029, 2: 14592}"
Digital,,,,,,2,P204,"{1: 54565, 2: 56}"
Digital,,,,,,2,P205,"{1: 39851, 2: 14770}"
Digital,,,,,,2,P206,"{1: 54566, 2: 55}"
Analog,0.01280492,45.0,8.412122918868203,2.019976,10.249808823851543,1107,DPIT301,
Analog,0.0,2.351984,0.6630141534368832,0.0,1.0048550317246323,1304,FIT301,
Analog,364.3863,1201.0,964.9589195327804,1014.924,109.63290586831316,5736,LIT301,
Digital,,,,,,3,MV301,"{1: 53619, 2: 845, 0: 157}"
Digital,,,,,,3,MV302,"{1: 38098, 2: 16296, 0: 227}"
Digital,,,,,,3,MV303,"{1: 53300, 2: 1100, 0: 221}"
Digital,,,,,,3,MV304,"{2: 34766, 1: 19622, 0: 233}"
Digital,,,,,,1,P301,{1: 54621}
Digital,,,,,,2,P302,"{1: 38368, 2: 16253}"
Analog,148.7695,148.8561,148.80688692261216,148.808,0.003708996180875052,14,AIT401,
Analog,140.8357,333.8118,250.7772220757584,309.6129,85.33395347312792,2619,AIT402,
Analog,0.0,1.741582,0.6681397247523663,0.0,0.8278040727081426,518,FIT401,
Analog,243.0146,1002.589,497.87912587649436,248.3594,309.65160520416373,6765,LIT401,
Digital,,,,,,1,P401,{1: 54621}
Digital,,,,,,2,P402,"{1: 31973, 2: 22648}"
Digital,,,,,,1,P403,{1: 54621}
Digital,,,,,,1,P404,{1: 54621}
Digital,,,,,,2,UV401,"{1: 33234, 2: 21387}"
Analog,7.433863,8.255768,7.656287905091448,7.640541,0.1614895871258146,1249,AIT501,
Analog,131.8124,271.0331,188.2998152139287,192.7198,41.89941537632057,2268,AIT502,
Analog,244.8731,281.5304,266.5858981032936,267.4314,4.171574849498911,601,AIT503,
Analog,11.18944,255.0,16.62117118031526,15.41912,19.781114717030523,192,AIT504,
Analog,0.0,1.751858,0.7017382134429799,0.001025378,0.8363455273782217,597,FIT501,
Analog,0.0,1.352376,0.5237562604592739,0.001152812,0.6244402665829389,1009,FIT502,
Analog,0.0,0.7402619,0.29272408959824975,0.001152258,0.35278682747625717,256,FIT503,
Analog,0.0,0.3116292,0.11797934174667252,0.0,0.1494291807006534,163,FIT504,
Digital,,,,,,2,P501,"{1: 33230, 2: 21391}"
Digital,,,,,,1,P502,{1: 54621}
Analog,9.468726,253.1242,106.71784767589388,10.25378,115.68186372213121,774,PIT501,
Analog,0.0,1.890238,0.4634094705772505,0.0,0.6308616451475831,70,PIT502,
Analog,3.14022,191.3452,78.50804337276871,3.941297,89.25583828989141,740,PIT503,
Analog,0.0,1.742992,0.011337883731458597,0.0,0.13086919907872774,503,FIT601,
Digital,,,,,,1,P601,{1: 54621}
Digital,,,,,,2,P602,"{1: 54283, 2: 338}"
Digital,,,,,,1,P603,{1: 54621}
