asset,asset_type,asset_stage,category,min,max,mean,median,std,unique_count,start_threshold,stop_threshold,process_variable,related_assets,state_counts
FIT101,Flow Indicator Transmitter,1,Analog,0.0,2.760145,1.8461958938421001,2.492073,1.1344995265447682,3903,,,,[],
LIT101,Level Indicator Transmitter,1,Analog,120.6237,1000.0,587.8316852808525,525.8692,120.43427199085922,11155,,,,[],
MV101,Motorized Valve,1,Digital,,,,,,3,,,,"['LIT101', 'LIT301', 'LIT401']","{2.0: 284754, 1.0: 108394, 0.0: 2150}"
P101,Pump,1,Digital,,,,,,2,531.77675,812.5321,LIT101,"['LIT301', 'LIT401', 'LIT101']","{2: 1038959, 1: 348139}"
P102,Pump,1,Digital,,,,,,2,,,,"['LIT101', 'LIT301', 'LIT401']","{1: 1387002, 2: 96}"
AIT201,Analyzer Indicator Transmitter,2,Analog,168.0338,267.7198,211.4123958573026,199.6603,36.041028327731425,2105,,,,[],
AIT202,Analyzer Indicator Transmitter,2,Analog,6.0,8.988273,8.427363573438214,8.377851,0.11352630501149567,1763,,,,[],
AIT203,Analyzer Indicator Transmitter,2,Analog,285.3371,567.4699,339.6615352662897,329.9667,44.657296576756096,6654,,,,[],
FIT201,Flow Indicator Transmitter,2,Analog,0.0,2.823695,1.8346356952568539,2.444623,1.0598439635180779,4673,,,,[],
MV201,Motorized Valve,2,Digital,,,,,,3,,,,[],"{2.0: 297512, 1.0: 96050, 0.0: 1736}"
P201,Pump,2,Digital,,,,,,2,,,,[],"{1.0: 341566, 2.0: 53732}"
P202,Pump,2,Digital,,,,,,1,,,,[],{1.0: 395298}
P203,Pump,2,Digital,,,,,,2,,,,[],"{2: 1036145, 1: 350953}"
P204,Pump,2,Digital,,,,,,1,,,,[],{1.0: 395298}
P205,Pump,2,Digital,,,,,,2,,,,[],"{2: 951336, 1: 435762}"
P206,Pump,2,Digital,,,,,,1,,,,[],{1: 1387098}
DPIT301,Differential Pressure Indicator Transmitter,3,Analog,0.0,45.0,16.659653205662572,19.85402,6.738137014115887,5174,,,,[],
