feature,importance
FIT201_avg50,0.5425299972925375
FIT101,0.18356799740778268
MV101,0.10218362705436751
FIT101_avg50,0.026894966887130608
FIT101_lag1,0.01882301271579643
FIT201_avg10,0.018638823118947795
FIT201_lag10,0.018003659402022858
FIT101_lag10,0.017740571867565152
FIT101_avg10,0.017634109697071427
FIT101_lag5,0.014941932186099002
FIT201_lag5,0.012192083867152714
FIT201,0.011656752841124302
FIT201_lag1,0.010435738513446246
MV201,0.0031519018807508966
P101,0.0015695427881996838
P203,3.528248000526996e-05
